Opportunity_ID,Last_Modified_Date_opp_days,Quote_Expiry_Date_opp_days,Planned_Delivery_End-Start,Planned_Delivery_Start_Date_acc_days,Planned_Delivery_Start_Date_opp_days
0,189,54.0,60.0,320,146
1,39,44.0,2.0,216,42
2,296,297.0,0.0,279,48
3,840,52.0,58.0,1650,786
4,840,542.0,27.0,1650,786
5,840,542.0,58.0,1650,786
6,304,52.0,89.0,1285,421
7,0,29.0,0.0,279,47
8,118,52.0,0.0,315,82
9,118,52.0,0.0,315,82
10,118,52.0,0.0,315,82
11,29,113.0,6.0,88,31
12,112,113.0,13.0,40,40
13,118,52.0,0.0,315,82
14,118,52.0,0.0,315,82
15,118,52.0,0.0,315,82
16,118,52.0,0.0,315,82
17,28,52.0,0.0,315,82
18,118,52.0,0.0,315,82
19,324,14.0,4.0,989,124
20,0,30.0,11.0,905,40
21,440,52.0,30.0,922,82
22,26,26.0,0.0,263,29
23,399,5.0,4.0,730,29
24,399,6.0,4.0,737,36
25,399,12.0,6.0,70,70
26,519,34.0,53.0,1346,479
27,397,3.0,3.0,906,38
28,397,3.0,3.0,898,30
29,287,48.0,21.0,27,27
30,392,48.0,89.0,116,110
31,7,8.0,59.0,864,139
32,97,31.0,11.0,940,69
33,393,2.0,3.0,906,34
34,68,65.0,29.0,225,76
35,737,52.0,74.0,850,838
36,29,43.0,39.0,32,32
37,22,52.0,0.0,315,74
38,110,52.0,0.0,315,74
39,22,52.0,0.0,315,74
40,110,52.0,0.0,315,74
41,223,52.0,0.0,315,74
42,223,52.0,0.0,315,74
43,223,52.0,0.0,315,74
44,110,52.0,0.0,315,74
45,113,106.0,60.0,138,136
46,391,32.0,9.0,907,73
47,286,35.0,4.0,150,150
49,33,104.0,12.0,517,52
50,182,134.0,29.0,827,166
51,115,43.0,29.0,827,166
52,101,102.0,14.0,918,43
53,37,192.0,29.0,470,102
54,0,70.0,0.0,395,28
55,0,10.0,7.0,434,67
56,16,65.0,35.0,433,66
57,0,10.0,15.0,433,66
58,16,25.0,7.0,346,63
59,17,17.0,0.0,60,60
61,98,30.0,31.0,947,69
62,311,35.0,0.0,961,83
63,427,52.0,30.0,1075,222
64,273,52.0,91.0,201,130
65,273,52.0,91.0,201,130
66,273,52.0,91.0,201,130
67,273,52.0,91.0,201,130
68,273,52.0,91.0,201,130
69,273,52.0,91.0,201,130
70,273,52.0,91.0,201,130
71,273,52.0,61.0,231,160
72,273,52.0,83.0,209,138
73,273,52.0,76.0,216,145
74,273,52.0,69.0,223,152
75,273,52.0,28.0,237,166
76,273,52.0,28.0,244,173
77,273,52.0,28.0,251,180
78,273,52.0,28.0,265,194
79,273,52.0,28.0,279,208
80,273,52.0,28.0,286,215
81,273,52.0,28.0,293,222
82,273,52.0,42.0,300,229
83,273,52.0,28.0,307,236
84,273,52.0,28.0,314,243
85,273,52.0,28.0,321,250
86,273,52.0,28.0,328,257
87,273,52.0,28.0,342,271
88,273,52.0,28.0,370,299
89,273,52.0,28.0,384,313
90,0,8.0,0.0,331,63
91,68,68.0,0.0,82,82
92,0,0.0,0.0,322,54
93,1,23.0,38.0,916,37
94,1,23.0,15.0,902,23
95,75,23.0,29.0,948,69
96,280,29.0,4.0,116,116
97,13,43.0,0.0,211,19
98,13,43.0,0.0,228,36
99,13,36.0,0.0,837,15
100,13,36.0,0.0,837,15
101,13,36.0,0.0,861,39
102,13,36.0,0.0,865,43
103,12,98.0,7.0,925,60
104,12,98.0,4.0,939,74
105,13,98.0,4.0,883,18
106,13,43.0,7.0,256,60
107,547,52.0,7.0,256,60
108,13,13.0,0.0,28,24
109,13,13.0,0.0,42,38
110,93,93.0,4.0,132,125
111,334,0.0,0.0,841,7
112,334,0.0,0.0,842,8
113,334,30.0,14.0,714,20
114,333,22.0,18.0,592,19
115,333,23.0,26.0,371,89
116,333,26.0,26.0,982,89
117,517,517.0,7.0,1437,544
118,333,85.0,4.0,354,131
119,333,52.0,0.0,346,85
120,333,52.0,0.0,346,85
121,333,52.0,0.0,346,85
122,333,52.0,0.0,346,85
123,333,52.0,0.0,346,85
124,333,52.0,0.0,346,85
125,333,0.0,0.0,892,0
126,333,125.0,0.0,395,134
127,333,71.0,0.0,340,79
128,333,52.0,0.0,346,85
129,333,2.0,7.0,894,2
130,333,54.0,30.0,55,55
132,333,-7.0,0.0,834,-1
134,333,-7.0,0.0,841,6
135,333,9.0,0.0,847,12
136,333,23.0,0.0,851,16
137,333,176.0,25.0,995,103
138,333,23.0,0.0,848,13
139,332,31.0,91.0,924,176
140,332,29.0,2.0,244,95
141,332,52.0,0.0,346,84
142,332,33.0,0.0,346,84
143,332,52.0,0.0,346,84
144,332,52.0,0.0,346,84
145,332,77.0,0.0,347,85
146,332,52.0,0.0,346,84
147,332,52.0,0.0,346,84
148,332,123.0,0.0,389,127
149,332,8.0,0.0,273,11
150,332,52.0,0.0,346,84
151,332,52.0,0.0,346,84
152,332,6.0,0.0,274,12
153,332,52.0,18.0,88,88
154,332,67.0,73.0,102,102
155,332,8.0,0.0,902,8
156,331,7.0,0.0,917,22
157,331,21.0,22.0,863,26
158,331,52.0,31.0,52,52
159,331,21.0,0.0,863,26
160,331,96.0,0.0,371,108
161,331,24.0,30.0,787,175
162,331,24.0,59.0,757,145
163,331,52.0,58.0,675,269
164,331,83.0,14.0,424,38
165,331,83.0,11.0,364,10
166,331,83.0,29.0,455,38
167,328,30.0,7.0,763,63
168,328,52.0,189.0,781,63
169,328,95.0,18.0,265,84
170,327,17.0,0.0,586,49
171,883,94.0,17.0,432,90
172,363,52.0,89.0,81,81
173,326,36.0,0.0,68,68
174,326,78.0,3.0,933,48
175,326,52.0,29.0,609,140
176,326,52.0,29.0,1010,110
177,326,52.0,28.0,979,79
178,325,15.0,0.0,885,42
179,325,30.0,30.0,948,47
180,325,52.0,53.0,1158,389
181,325,46.0,4.0,1059,158
182,325,46.0,4.0,1066,165
183,324,49.0,17.0,88,59
184,324,76.0,14.0,31,31
185,324,52.0,17.0,419,59
186,324,52.0,14.0,989,87
187,323,14.0,29.0,259,45
188,323,74.0,12.0,307,93
189,323,14.0,30.0,259,45
190,323,37.0,3.0,241,27
191,323,124.0,0.0,310,96
192,321,0.0,0.0,277,4
193,321,73.0,14.0,109,14
194,321,14.0,3.0,756,259
195,321,11.0,0.0,954,49
196,321,14.0,0.0,968,63
197,321,12.0,15.0,432,149
198,359,6.0,4.0,98,16
199,320,38.0,11.0,42,42
200,343,41.0,2.0,230,8
201,320,213.0,25.0,1101,195
202,320,52.0,25.0,1010,104
203,319,14.0,6.0,50,50
204,319,9.0,7.0,147,16
205,319,9.0,6.0,175,44
206,319,40.0,2.0,40,40
207,319,71.0,14.0,531,33
208,319,9.0,14.0,9,9
209,319,56.0,11.0,117,117
210,392,239.0,4.0,250,250
211,318,-1.0,0.0,-1,-1
212,318,11.0,11.0,930,116
213,317,52.0,7.0,798,87
214,317,52.0,30.0,276,100
215,317,52.0,0.0,346,69
216,317,52.0,0.0,346,69
217,317,52.0,0.0,375,98
218,317,52.0,0.0,375,98
219,317,52.0,0.0,375,98
220,317,52.0,0.0,375,98
221,317,52.0,0.0,375,98
222,317,52.0,0.0,375,98
223,317,11.0,0.0,675,73
224,317,222.0,0.0,156,156
225,317,0.0,0.0,280,3
226,317,52.0,0.0,375,98
227,317,52.0,0.0,375,98
228,317,31.0,2.0,976,67
229,317,37.0,3.0,469,157
230,317,52.0,0.0,375,98
231,317,66.0,28.0,525,213
232,317,52.0,0.0,375,98
233,317,52.0,0.0,375,98
234,317,52.0,0.0,375,98
235,317,52.0,22.0,39,39
236,317,3.0,4.0,707,3
237,317,30.0,4.0,961,52
238,316,68.0,0.0,198,198
239,314,0.0,4.0,0,0
240,314,5.0,2.0,927,16
241,314,30.0,22.0,525,4
242,314,32.0,56.0,979,67
243,18,8.0,10.0,1273,31
244,64,3.0,0.0,1243,1
245,0,30.0,4.0,1241,-1
246,640,97.0,90.0,712,102
247,310,97.0,90.0,803,193
248,97,97.0,91.0,895,285
249,355,52.0,0.0,556,293
250,310,34.0,90.0,113,102
251,640,97.0,91.0,204,193
252,36,101.0,19.0,245,17
253,22,15.0,12.0,1265,22
254,0,1.0,5.0,1231,28
255,17,2.0,10.0,1202,20
256,22,47.0,0.0,62,62
257,1,1.0,0.0,1193,8
258,1,41.0,346.0,954,11
259,1,1.0,0.0,1208,23
260,0,100.0,0.0,87,37
261,0,10.0,0.0,1208,23
262,1,31.0,0.0,1243,-1
263,207,52.0,147.0,347,347
264,183,102.0,21.0,276,197
265,1,31.0,9.0,1243,-1
266,0,9.0,0.0,1222,36
267,0,9.0,0.0,1229,43
268,4,4.0,0.0,459,40
269,279,313.0,91.0,283,283
270,68,99.0,14.0,713,10
271,6,99.0,2.0,1245,69
272,1,99.0,7.0,1201,25
273,1,99.0,4.0,1194,18
274,1,99.0,6.0,1258,82
275,125,99.0,4.0,1271,95
276,1,99.0,9.0,1203,27
277,6,99.0,17.0,1257,81
278,5,99.0,4.0,1264,88
279,138,99.0,15.0,1275,99
280,125,99.0,4.0,1271,95
281,99,99.0,8.0,1283,107
282,193,99.0,14.0,160,41
283,12,52.0,30.0,10,10
284,643,18.0,15.0,287,25
285,643,18.0,15.0,287,25
286,1,1.0,2.0,13,6
287,120,67.0,0.0,838,150
289,60,34.0,0.0,1250,4
290,172,52.0,8.0,345,31
291,37,1.0,0.0,408,37
292,199,1.0,0.0,588,217
293,1,1.0,0.0,632,16
294,1,1.0,0.0,646,30
295,1,1.0,0.0,648,32
296,0,94.0,0.0,1227,36
297,1,1.0,0.0,416,44
298,38,38.0,4.0,390,48
299,8,30.0,4.0,27,27
300,75,92.0,4.0,1479,228
301,1,30.0,2.0,617,-1
302,14,30.0,11.0,629,11
303,1,30.0,2.0,1250,-1
304,176,29.0,0.0,108,8
305,6,1.0,0.0,7,7
306,526,36.0,7.0,213,21
307,333,34.0,3.0,1263,11
308,402,1.0,0.0,648,4
309,632,29.0,2.0,105,86
310,632,30.0,25.0,14,14
311,401,253.0,4.0,1484,426
312,429,177.0,32.0,1610,412
313,401,87.0,12.0,280,20
314,401,87.0,12.0,280,20
315,401,87.0,12.0,280,20
316,522,32.0,7.0,234,10
317,400,86.0,27.0,173,0
318,400,181.0,42.0,262,222
319,400,31.0,46.0,503,96
320,400,31.0,59.0,325,271
321,399,146.0,0.0,353,242
322,399,116.0,28.0,148,148
323,399,57.0,29.0,1343,147
326,399,31.0,7.0,1047,92
327,399,31.0,88.0,1043,88
328,399,31.0,88.0,1043,88
329,399,85.0,0.0,1229,29
330,399,85.0,0.0,1229,29
331,399,43.0,0.0,1213,13
332,399,1.0,0.0,632,6
333,399,85.0,0.0,1211,11
334,399,116.0,7.0,325,228
335,399,26.0,16.0,10,10
336,399,4.0,0.0,1146,67
337,399,109.0,0.0,1210,131
338,399,52.0,32.0,1325,67
339,57,85.0,0.0,285,95
340,399,4.0,0.0,1263,5
341,554,37.0,11.0,1250,18
342,398,30.0,0.0,1262,3
343,398,30.0,0.0,1262,3
344,553,52.0,14.0,1268,35
348,398,52.0,0.0,441,7
349,398,4.0,0.0,396,14
350,398,84.0,0.0,1220,19
351,398,84.0,0.0,1222,21
352,398,4.0,0.0,446,12
353,398,84.0,0.0,1244,43
354,398,84.0,70.0,284,94
355,398,25.0,20.0,190,190
356,398,4.0,0.0,354,45
357,397,33.0,0.0,1263,3
359,397,24.0,25.0,654,58
360,396,46.0,92.0,205,205
361,395,22.0,9.0,884,23
362,395,81.0,5.0,866,13
363,395,31.0,15.0,1269,7
364,395,52.0,74.0,1200,84
365,394,49.0,15.0,100,26
368,394,2.0,0.0,1205,0
369,394,7.0,0.0,479,41
370,394,2.0,0.0,479,41
371,394,2.0,0.0,479,41
372,394,87.0,3.0,132,132
373,394,9.0,0.0,448,10
374,394,2.0,0.0,472,34
375,394,9.0,0.0,448,10
376,394,80.0,57.0,766,114
377,624,110.0,87.0,704,146
378,394,8.0,0.0,1272,9
379,394,72.0,0.0,488,119
380,394,328.0,53.0,557,328
381,393,35.0,18.0,1290,26
384,393,2.0,0.0,221,12
386,393,2.0,0.0,221,12
387,393,82.0,4.0,1367,103
388,393,177.0,4.0,1458,194
389,393,177.0,60.0,1465,201
